image_id,screening,preprocessing,size,shape
3027f9ffe7,False,True,True,False
30da4fa249,False,True,True,True
31121ca5cf,False,True,True,False
31a727b95d,True,False,False,False
31f17306c8,False,True,True,False
33f8a59619,False,True,True,True
3430b20071,False,True,True,True
345fb7ab68,True,True,False,False
34864e691e,True,True,False,False
34f4fb273d,True,True,False,False
3537f150cd,False,True,True,True
3692286ecf,False,True,True,True
36de69b2c0,False,True,True,False
37ce835fb2,False,True,True,False
391ef00939,False,True,True,False
398ae34c19,False,True,True,False
39b0dc1f52,True,True,False,False
39b3a6db5e,False,True,True,True
39dda96b25,False,True,True,True
39e18a8f4c,True,True,False,False
3a0a2f5edf,True,False,False,False
3a8af6d3f4,False,True,True,True
3a9246e0ee,True,False,False,False
3ac1920a79,True,False,False,False
3b18ef9b73,True,False,False,False
3bbd05202e,True,True,False,False
3d103080e6,False,True,False,True
3d1937b05c,False,True,True,False
3f97a9e821,False,True,True,False
404b0836f1,False,True,True,False
406975041a,True,True,False,False
406d70e411,True,True,False,False
40afb05b44,True,True,False,False
410284d28b,True,True,False,False
41ac55ed12,False,True,True,True
41bb4d19a4,True,True,False,False
41c25dca24,True,True,False,False
42750053e0,False,True,True,True
427ebc9e15,True,True,False,False
434e287439,True,True,False,False
43875c5b20,False,True,True,False
43be4d0a2c,True,True,False,False
441414704c,False,True,True,True
453123a947,False,True,True,True
4545280c2b,False,True,True,False
4628753cd8,False,True,True,True
47286679c2,True,True,False,False
478a6c42ec,False,True,True,True
482193653a,False,True,True,False
4822787326,True,False,False,False
48f3a148f6,True,False,False,False
4b07dbd803,True,True,False,False
4bafa92eec,False,True,False,True
4cd9e65aae,False,True,True,False
4d951b622f,True,True,False,False
4e13b5c5f8,True,False,False,False
4ec7671d11,True,True,False,False
50a4901372,False,True,True,False
513158cf83,True,True,False,False
516b2f0aa8,False,True,True,False
51f82fcb93,True,False,False,False
53025d5189,True,True,False,False
535134e785,False,True,True,True
544b32e4cd,True,False,False,False
55511ff512,True,False,False,False
555eb05b4c,False,True,True,True
5568be0f4c,True,True,False,False
5737e0c2c7,False,True,True,True
5842aa1a32,True,False,False,False
586dc6cc59,False,True,True,False
5898a2ac02,True,True,False,False
58e8237dab,False,True,True,True
59424b060a,True,True,False,False
5a25d179cc,True,False,False,False
5a65f9eba2,True,True,False,False
5a6c23682b,False,True,True,True
5addfe7111,False,True,True,True
5c1cd79e2e,True,False,False,False
5c244a9ea8,True,False,False,False
5c418c2eb0,True,True,False,False
5d72761807,True,False,False,False
5e22377208,True,False,False,False
5eb66b74ea,True,True,False,False
5f42a8d4a9,False,True,True,False
5fc8c5b53c,True,False,False,False
60c63e2383,False,True,True,False
60feb7de8f,False,True,True,False
611b9564a4,False,True,True,False
6169a602a0,True,False,False,False
62223ab32f,False,True,True,True
62594342ac,False,True,True,False
627acee9c4,False,True,True,False
62a54f335d,False,True,True,False
62e729e838,True,True,False,False
6360a823da,False,True,True,True
636334b3f1,True,False,False,False
63df66fb4d,True,False,False,False
6643f01cf4,False,True,True,False
66a6ddb34e,True,False,False,False
671b7c8831,True,False,False,False
6752c27137,True,False,False,False
691f7638fd,True,True,False,False
6a291d0bb4,True,False,False,False
6c52a10c75,False,True,True,False
6d0f510327,False,True,True,True
6d1574872b,True,True,False,False
6db657d4f7,True,True,False,False
6de290c824,False,True,True,True
6e16b7dcb7,False,True,False,True
6fe6ed78ab,True,False,False,False
70345dfad1,True,False,False,False
707120d0f5,False,True,True,True
70f9f13af4,True,True,False,False
724248a877,True,True,False,False
72507b07bc,False,True,True,True
728f55aed4,True,True,False,False
736f1a3eb2,True,True,False,False
738c326d73,True,True,False,False
73e0a09cd2,True,True,False,False
74391d74bd,True,True,False,False
74ef917e76,False,True,True,False
75e968af41,False,True,True,False
763c317d5d,False,True,True,True
76dde347fc,True,True,False,False
7701ac03c1,True,True,False,False
77f09d7ca4,True,False,False,False
782d7f752d,False,True,True,True
78834ed976,True,False,False,False
78847f96ee,True,True,False,False
78b42bc5e8,False,True,True,False
78bda6c73b,True,True,False,False
78c63579ba,True,True,False,False
7988097925,True,True,False,False
7a48f5b4d5,True,True,False,False
7ab1f4b7ba,True,False,False,False
7b76562318,False,True,True,False
7c5501d292,True,True,False,False
7d54a1c5b3,True,False,False,False
7e0c56c44b,False,True,True,True
7e85b64066,True,False,False,False
7ea28e7e54,True,False,False,False
7ecd3c2ab9,True,True,False,False
7f1a5b0782,True,True,False,False
7f50b86c4b,False,True,True,False
7f94f4bdab,False,True,True,True
7fabcfe23f,False,True,True,False
802e607c7c,False,True,True,True
80719af02f,True,False,False,False
80d6a1f25a,False,True,True,False
8136144eaf,False,True,True,True
82b9b9c2af,False,True,True,False
82c99bbb53,False,True,True,True
82e8007547,True,True,False,False
83afcabd95,True,True,False,False
83fd5c9288,True,True,False,False
848b740671,True,True,False,False
84a6330bdb,False,True,True,False
854de5be19,False,True,True,True
85743c45d1,True,False,False,False
85a5d4d8b9,True,True,False,False
85dedcfd30,True,False,False,False
85f5efb77d,True,False,False,False
864a2a6ccf,False,True,True,True
87429394b0,False,True,True,True
88808139d3,False,True,True,False
891f96f60d,True,False,False,False
893215335a,False,True,True,True
89e4044418,False,False,True,True
8b40ed2a82,True,True,False,False
8b7ce99d43,False,True,True,True
8bf3782470,True,True,False,False
8c22d1acd5,False,True,True,False
8cee575b39,False,True,True,False
8d7fc4c578,False,True,True,False
8dffc01cc2,True,True,False,False
8e1269eba3,False,True,True,True
8e50748a7b,True,False,False,False
8e68b05e0e,False,True,True,False
8f9db31734,True,True,False,False
8fde53b05f,True,False,False,False
90615b870a,True,True,False,False
913312cfdf,True,False,False,False
923cab32ee,True,False,False,False
9246d32fe0,False,True,True,False
9318f3ce70,True,False,False,False
934d76aaf2,True,True,False,False
93ed483d79,True,True,False,False
95e201a1fe,True,False,False,False
96c772f28b,True,True,False,False
9797ed1000,True,True,False,False
97e645b56e,False,True,True,False
986f86c3b5,False,True,True,True
98a18b7db9,True,True,False,False
9928dad0ac,True,True,False,False
99eb4bad25,True,True,False,False
9c29ca7edf,True,False,False,False
9c4905d020,False,True,True,False
9c68e03e41,False,True,True,False
9c9d1af243,True,True,False,False
9ca16b98df,True,True,False,False
9d2e813224,False,True,True,False
9d358e8c8a,True,False,False,False
9dc60257e5,False,True,True,True
9ef6e6b29d,True,False,False,False
9fa90de188,True,False,False,False
9fac661e24,True,False,False,False
a027b64ae9,False,True,False,True
a1315df346,True,True,False,False
a1dada3898,True,True,False,False
a1e18db01a,False,True,True,True
a2883fc6eb,False,True,True,False
a3eb38c236,False,True,True,False
a4027c076c,False,True,True,False
a45586af89,False,True,True,False
a492171fa8,True,True,False,False
a4b639ab1a,False,True,True,True
a562af31ea,True,True,False,False
a59bcf3f13,True,False,False,False
a630b192d4,True,False,False,False
a66c75354a,True,False,False,False
a68915823c,False,True,True,False
a880175367,False,True,True,False
a8851978de,False,True,True,False
a8e3f32537,False,True,True,False
a9a628444d,False,True,True,False
aa309f6cec,True,True,False,False
aa968ec1b2,True,True,False,False
ab82fe7827,True,True,False,False
ac49e14130,False,True,True,True
ae001af29f,True,True,False,False
ae690251d5,True,False,False,False
ae843e9fc0,True,True,False,False
af124a45d9,False,True,True,False
af2a275342,True,True,False,False
af674cfe7e,True,False,False,False
b0e3041a0d,False,True,True,True
b16f4f83a4,True,True,False,False
b19f6f3309,True,False,False,False
b1fc590830,False,True,True,True
b23c478d84,True,False,False,False
b2a7683174,False,True,True,False
b2f6f1bbf9,False,True,True,True
b392e4784f,False,True,True,False
b3e7900e39,False,True,True,False
b452204939,True,True,False,False
b4ab2ea927,False,True,True,False
b5ba9813a4,True,True,False,False
b616ffa779,False,True,False,True
b657336f23,True,True,False,False
b78bdee5d3,True,True,False,False
b78f5fdc22,True,False,False,False
b85f5e414c,True,True,False,False
b8e9061c90,False,True,True,False
b95828224e,True,False,False,False
b996f341bd,False,True,True,False
b9deddff33,False,True,True,False
bb3d8c922b,True,False,False,False
bbb27830b9,True,False,False,False
bc1fe886af,True,True,False,False
bc5529f7ca,True,False,False,False
bcab6454cf,True,False,False,False
be5df16bd4,True,False,False,False
bf57480a38,True,False,False,False
bf6f1a320a,True,True,False,False
bf901d32a3,False,True,True,False
bfb2a25730,True,False,False,False
c0ba8a65a5,False,True,True,False
c0fcfec15c,False,True,True,True
c1bfc4308b,False,True,True,False
c1cccb3332,False,True,True,False
c1d32ab54d,True,False,False,False
c294fece54,False,True,True,True
c355821ea6,True,False,False,False
c363833ad2,False,True,True,False
c36b04376a,True,True,False,False
c3d3764a5a,True,False,False,False
c5c0825297,False,True,True,False
c61a50a061,False,True,True,False
c6ea896731,True,True,False,False
c7e9ec8d48,True,True,False,False
c812c93fbd,True,True,False,False
c83a6e91b0,True,True,False,False
c88cae3e95,False,True,True,True
c984680063,True,True,False,False
ca780314cd,True,True,False,False
cb13cb5f85,False,True,True,True
cc87926397,False,True,True,False
cc9540d282,True,True,False,False
cd22803960,True,False,False,False
cd48200d46,True,True,False,False
ce2f96aae1,True,True,False,False
ce39bb3c03,True,False,False,False
ce41e4e56d,True,True,False,False
ce46819633,True,False,False,False
ce6d981687,True,True,False,False
cecb19b837,False,True,True,True
cef2196885,True,False,False,False
cf6823322f,True,True,False,False
cf703078f2,True,True,False,False
d04d7ced9f,False,True,True,False
d28fb3e471,True,False,False,False
d29d644539,True,True,False,False
d3971746e0,True,False,False,False
d3ed612a2d,False,True,True,True
d4b73860c3,True,False,False,False
d54e727066,True,False,False,False
d5e8abb61d,False,True,True,False
d6613c4ec5,False,True,True,True
d722a3a383,False,True,True,True
d7da1a24ad,True,True,False,False
d822219f76,False,True,True,True
d83980d44e,False,True,True,False
d8eff0e0bd,False,True,True,True
d90c9c5b72,False,True,True,False
d933f429cc,True,True,False,False
dbbbce5020,False,True,True,True
dc20484021,True,True,False,False
dc25ff5266,True,True,False,False
dcfbfa74e4,False,True,True,True
ddffc403e3,True,True,False,False
de1d3f1409,False,True,True,True
dedf11eb6c,True,True,False,False
dfeaa0d54b,True,True,False,False
e071eefebb,False,True,True,False
e111fb569d,False,True,True,True
e1adc2ba25,True,True,False,False
e211d9d7ac,False,True,True,False
e2d9d3d783,True,True,False,False
e3a800b533,False,True,True,False
e4065c11e4,True,True,False,False
e4268d7502,True,True,False,False
e493a405ad,False,True,True,False
e49e69fd61,False,True,True,True
e49ed62b0b,True,False,False,False
e59a1a493e,False,True,True,True
e6822fbe96,True,False,False,False
e6bfc43298,False,True,True,True
e7187b91bf,True,True,False,False
e73bcbd77d,False,True,True,False
e83de4878a,False,True,False,True
e853d120fa,True,True,False,False
e8e39c913a,False,True,True,False
ea71fe4650,False,True,True,True
eb67400438,True,True,False,False
ec2cc16d2a,True,True,False,False
ec62d76c0a,True,True,False,False
ed120ef412,False,True,True,True
ed3547f3da,False,True,True,True
ed3a3cb76b,True,False,False,False
ee161d333c,True,True,False,False
ee8a331d06,True,True,False,False
eed04b7d68,True,True,False,False
ef6bbe7612,False,True,True,False
f0522acde8,True,False,False,False
f068954421,False,True,True,True
f24b8804c9,False,True,True,False
f28b702df5,True,True,False,False
f29baed81b,True,True,False,False
f32c7bd62b,True,False,False,False
f3b36fb2ab,True,False,False,False
f447a36b0b,False,True,True,True
f485e2051b,False,True,True,False
f5235de51f,True,True,False,False
f58490bdaf,True,False,False,False
f659af19da,True,False,False,False
f664201c62,True,True,False,False
f6c0d8967e,True,False,False,False
f6e0ae6378,True,True,False,False
f6f3758bf4,True,True,False,False
f73d0ac26a,True,True,False,False
f77a745ba2,True,True,False,False
f78844f8ce,True,True,False,False
f7f7093f0f,True,True,False,False
f7f9125fb0,False,True,True,True
f7fa7d1729,False,True,True,False
f84ce9e349,False,True,True,False
f8a1b2bf39,True,True,False,False
f98c5fb82a,True,True,False,False
f9d59dcb02,True,False,False,False
fab3633337,False,True,True,True
fb1eb65fe5,False,True,True,False
fc2851e6d3,False,False,True,False
fc9e19325c,True,True,False,False
fcc97c015c,False,True,True,True
fcebbb1fd9,True,False,False,False
fd1f58d925,False,True,True,False
fe76e94abf,False,True,True,False
fe83ead30b,False,True,True,True
fe9791f122,True,True,False,False
ffae2f363e,False,True,True,True
fff35f80e1,True,True,False,False
